__run_id,__done,_compiler,_benchmark,execution_time,cpu_usage,memory_usage,energy_consumption
run_23_repetition_6,DONE,swig,fft,0.201,12.399,8518394.667,4.438
run_6_repetition_15,DONE,pure_python,quick_sort,1.601,5.967,8523204.0,37.343
run_25_repetition_17,DONE,swig,k_means,0.2,5.154,8516969.333,3.704
run_28_repetition_2,DONE,swig,sieve,0.201,3.033,8519078.667,1.321
run_20_repetition_1,DONE,swig,bfs,0.201,4.479,8527522.667,3.652
run_1_repetition_6,DONE,pure_python,convex,4.424,7.327,8524412.167,113.318
run_9_repetition_14,DONE,pure_python,nbody,3.602,7.248,8507982.2,93.312
run_10_repetition_15,DONE,cython,bfs,0.201,5.165,8516316.0,4.299
run_25_repetition_11,DONE,swig,k_means,0.201,5.29,8501646.667,3.537
run_5_repetition_6,DONE,pure_python,k_means,3.802,7.159,8542614.667,94.374
run_18_repetition_18,DONE,cython,sieve,0.205,4.386,8518426.667,1.892
run_8_repetition_18,DONE,pure_python,sieve,0.6,5.846,8516146.4,10.097
run_27_repetition_3,DONE,swig,regex,0.201,5.314,8530113.333,4.965
run_15_repetition_1,DONE,cython,k_means,0.201,4.34,8552017.333,2.806
run_0_repetition_10,DONE,pure_python,bfs,1.001,5.76,8543275.429,18.419
run_16_repetition_6,DONE,cython,quick_sort,0.401,6.323,8564993.0,8.581
run_15_repetition_18,DONE,cython,k_means,0.201,4.511,8525192.0,2.655
run_15_repetition_17,DONE,cython,k_means,0.2,4.642,8510085.333,3.358
run_22_repetition_10,DONE,swig,dense_matrix,0.6,13.553,8531785.6,14.458
run_3_repetition_3,DONE,pure_python,fft,0.201,12.375,8524429.333,3.555
run_8_repetition_17,DONE,pure_python,sieve,0.601,4.657,8543925.6,10.374
run_4_repetition_16,DONE,pure_python,json_bench,1.801,6.116,8554711.636,38.149
run_12_repetition_6,DONE,cython,dense_matrix,0.201,13.298,8585757.333,4.059
run_13_repetition_16,DONE,cython,fft,0.201,13.324,8547873.333,3.831
run_27_repetition_8,DONE,swig,regex,0.201,5.071,8562824.0,4.256
run_29_repetition_1,DONE,swig,nbody,1.601,6.84,8569542.0,40.695
run_23_repetition_12,DONE,swig,fft,0.201,12.687,8517576.0,3.521
run_22_repetition_17,DONE,swig,dense_matrix,0.401,13.26,8537584.0,12.038
run_5_repetition_2,DONE,pure_python,k_means,3.802,7.67,8555367.429,96.639
run_14_repetition_14,DONE,cython,json_bench,1.802,6.761,8578641.455,39.299
run_26_repetition_0,DONE,swig,quick_sort,0.201,5.467,8599908.0,3.595
run_4_repetition_17,DONE,pure_python,json_bench,1.634,7.501,8637430.8,35.382
run_1_repetition_17,DONE,pure_python,convex,4.402,7.162,8570514.833,116.102
run_6_repetition_10,DONE,pure_python,quick_sort,1.601,7.19,8551911.2,39.67
run_12_repetition_19,DONE,cython,dense_matrix,0.201,13.85,8522512.0,4.101
run_3_repetition_16,DONE,pure_python,fft,0.201,12.378,8541506.667,3.591
